Name,Men,Women,Value,Year,Rank,Ylist
Yugoslavia,15,0,15,1920,21,
Estonia,14,0,14,1920,22,
Australia,12,1,13,1920,23,
Portugal,13,0,13,1920,24,
British India,5,0,5,1920,25,
New Zealand,3,1,4,1920,26,
Monaco,4,0,4,1920,27,
Chile,2,0,2,1920,28,
Argentina,1,0,1,1920,29,
France,369,32,401,1924,1,
United States,275,24,299,1924,2,
Great Britain,239,28,267,1924,3,
Italy,196,4,200,1924,4,
Netherlands,169,9,178,1924,5,
Belgium,166,6,172,1924,6,
Sweden,146,13,159,1924,7,
Switzerland,136,5,141,1924,8,
Czechoslovakia,129,4,133,1924,9,
Finland,121,0,121,1924,10,
Spain,93,2,95,1924,11,
Hungary,86,3,89,1924,12,
Denmark,77,12,89,1924,13,
Argentina,77,0,77,1924,14,
Canada,65,0,65,1924,15,
Poland,64,1,65,1924,16,
Norway,60,2,62,1924,17,
Austria,46,3,49,1924,18,
Luxembourg,46,2,48,1924,19,
Ireland,46,2,48,1924,20,
Yugoslavia,42,0,42,1924,21,
Greece,38,1,39,1924,22,
Estonia,37,0,37,1924,23,
Latvia,36,0,36,1924,24,
Australia,35,1,36,1924,25,
Romania,35,0,35,1924,26,
South Africa,30,0,30,1924,27,
Portugal,28,0,28,1924,28,
Uruguay,26,0,26,1924,29,
Bulgaria,24,0,24,1924,30,
Egypt,24,0,24,1924,31,
Turkey,22,0,22,1924,32,
Japan,19,0,19,1924,33,
Mexico,15,0,15,1924,34,
British India,12,1,13,1924,35,
Lithuania,13,0,13,1924,36,
Chile,13,0,13,1924,37,
Brazil,12,0,12,1924,38,
Cuba,9,0,9,1924,39,
Haiti,8,0,8,1924,40,
Monaco,7,0,7,1924,41,
New Zealand,3,1,4,1924,42,
Russia,2,1,3,1924,43,
Ecuador,3,0,3,1924,44,
Philippines,1,0,1,1924,45,
Germany,263,35,298,1928,1,
France,258,36,294,1928,2,
United States,236,44,280,1928,3,
Netherlands,222,44,266,1928,4,
Great Britain,201,31,232,1928,5,
Belgium,175,12,187,1928,6,
Italy,156,18,174,1928,7,
Switzerland,132,1,133,1928,8,
Hungary,93,16,109,1928,9,
Sweden,87,13,100,1928,10,
Poland,88,12,100,1928,11,
Denmark,82,9,91,1928,12,
Argentina,81,0,81,1928,13,
Spain,80,0,80,1928,14,
Austria,67,6,73,1928,15,
Czechoslovakia,69,1,70,1928,16,
Finland,67,2,69,1928,17,
Canada,62,7,69,1928,18,
Norway,52,0,52,1928,19,
Luxembourg,46,2,48,1928,20,
Japan,39,1,40,1928,21,
Ireland,33,5,38,1928,22,
Chile,38,0,38,1928,23,
Yugoslavia,34,0,34,1928,24,
Portugal,32,0,32,1928,25,
Egypt,32,0,32,1928,26,
Turkey,31,0,31,1928,27,
Mexico,30,0,30,1928,28,
South Africa,18,6,24,1928,29,
Greece,23,0,23,1928,30,
British India,21,0,21,1928,31,
Romania,19,2,21,1928,32,
Estonia,20,0,20,1928,33,
Australia,14,4,18,1928,34,
Uruguay,17,0,17,1928,35,
Latvia,15,2,17,1928,36,
Lithuania,11,1,12,1928,37,
Monaco,10,0,10,1928,38,
New Zealand,6,3,9,1928,39,
Malta,9,0,9,1928,40,
Bulgaria,5,0,5,1928,41,
Philippines,4,0,4,1928,42,
Haiti,2,0,2,1928,43,
Rhodesia,2,0,2,1928,44,
Panama,1,0,1,1928,45,
Cuba,1,0,1,1928,46,
United States,400,74,474,1932,1,
Japan,139,18,157,1932,2,
Germany,136,9,145,1932,3,
Italy,112,0,112,1932,4,
Great Britain,91,17,108,1932,5,
France,97,6,103,1932,6,
Canada,85,17,102,1932,7,
Sweden,78,3,81,1932,8,
Mexico,71,2,73,1932,9,
Brazil,58,1,59,1932,10,
Hungary,56,2,58,1932,11,
Poland,42,9,51,1932,12,
Netherlands,30,15,45,1932,13,
Denmark,35,8,43,1932,14,
Finland,40,0,40,1932,15,
Belgium,29,7,36,1932,16,
Argentina,33,0,33,1932,17,
Czechoslovakia,28,0,28,1932,18,
New Zealand,20,1,21,1932,19,
British India,19,0,19,1932,20,
Austria,17,2,19,1932,21,
Ireland,14,2,16,1932,22,
Australia,9,4,13,1932,23,
South Africa,10,2,12,1932,24,
Greece,10,0,10,1932,25,
Philippines,8,0,8,1932,26,
Norway,6,1,7,1932,27,
Spain,7,0,7,1932,28,
Switzerland,7,0,7,1932,29,
Portugal,6,0,6,1932,30,
Latvia,5,0,5,1932,31,
Cuba,3,0,3,1932,32,
Luxembourg,3,0,3,1932,33,
Haiti,3,0,3,1932,34,
Uruguay,2,0,2,1932,35,
Peru,2,0,2,1932,36,
Colombia,2,0,2,1932,37,
Estonia,2,0,2,1932,38,
Bulgaria,2,0,2,1932,39,
Venezuela,1,0,1,1932,40,
Turkey,1,0,1,1932,41,
China,1,0,1,1932,42,
Romania,1,0,1,1932,43,
Guatemala,0,1,1,1932,44,
Monaco,1,0,1,1932,45,
El Salvador,1,0,1,1932,46,
Yugoslavia,1,0,1,1932,47,
Germany,389,44,433,1936,1,
United States,313,46,359,1936,2,
Italy,228,16,244,1936,3,
Austria,217,17,234,1936,4,
Japan,203,17,220,1936,5,
Hungary,197,19,216,1936,6,
Great Britain,171,37,208,1936,7,
France,190,11,201,1936,8,
Switzerland,184,6,190,1936,9,
Czechoslovakia,175,14,189,1936,10,
Sweden,163,8,171,1936,11,
Netherlands,144,21,165,1936,12,
Belgium,145,5,150,1936,13,
Poland,127,17,144,1936,14,
Denmark,105,16,121,1936,15,
Finland,103,5,108,1936,16,
Canada,79,18,97,1936,17,
Yugoslavia,78,15,93,1936,18,
Brazil,67,6,73,1936,19,
Norway,68,2,70,1936,20,
Romania,52,2,54,1936,21,
China,52,2,54,1936,22,
Egypt,53,0,53,1936,23,
Argentina,50,1,51,1936,24,
Luxembourg,48,1,49,1936,25,
Turkey,46,2,48,1936,26,
Greece,40,1,41,1936,27,
Chile,39,1,40,1936,28,
Peru,40,0,40,1936,29,
Uruguay,37,0,37,1936,30,
Estonia,33,0,33,1936,31,
South Africa,26,6,32,1936,32,
Mexico,32,0,32,1936,33,
Australia,28,4,32,1936,34,
Latvia,29,0,29,1936,35,
Philippines,28,0,28,1936,36,
British India,27,0,27,1936,37,
Bulgaria,26,0,26,1936,38,
Portugal,19,0,19,1936,39,
Afghanistan,15,0,15,1936,40,
Iceland,12,0,12,1936,41,
Malta,11,0,11,1936,42,
Monaco,8,0,8,1936,43,
New Zealand,7,0,7,1936,44,
Liechtenstein,6,0,6,1936,45,
Colombia,5,0,5,1936,46,
Bermuda,5,0,5,1936,47,
Bolivia,2,0,2,1936,48,
Costa Rica,1,0,1,1936,49,
Great Britain,338,69,407,1948,1,
France,279,37,316,1948,2,
United States,262,38,300,1948,3,
Italy,195,20,215,1948,4,
Argentina,188,11,199,1948,5,
Switzerland,178,8,186,1948,6,
Sweden,162,19,181,1948,7,
Denmark,144,18,162,1948,8,
Belgium,132,20,152,1948,9,
Netherlands,115,34,149,1948,10,
Austria,116,32,148,1948,11,
Finland,126,6,132,1948,12,
Hungary,107,21,128,1948,13,
Canada,105,22,127,1948,14,
Yugoslavia,79,11,90,1948,15,
Czechoslovakia,76,14,90,1948,16,
Mexico,81,7,88,1948,17,
Egypt,85,0,85,1948,18,
Ireland,76,5,81,1948,19,
Norway,77,4,81,1948,20,
India,79,0,79,1948,21,
Australia,66,9,75,1948,22,
Brazil,59,11,70,1948,23,
Spain,65,0,65,1948,24,
Uruguay,60,1,61,1948,25,
Greece,60,1,61,1948,26,
Turkey,57,1,58,1948,27,
Chile,50,4,54,1948,28,
Cuba,53,0,53,1948,29,
Portugal,48,0,48,1948,30,
Republic of Korea,45,1,46,1948,31,
Luxembourg,42,3,45,1948,32,
Peru,41,0,41,1948,33,
Poland,31,7,38,1948,34,
Iran,36,0,36,1948,35,
South Africa,34,1,35,1948,36,
Pakistan,35,0,35,1948,37,
China,30,1,31,1948,38,
Philippines,26,0,26,1948,39,
Afghanistan,25,0,25,1948,40,
Iceland,18,3,21,1948,41,
Jamaica,9,4,13,1948,42,
Bermuda,10,2,12,1948,43,
Iraq,11,0,11,1948,44,
Puerto Rico,9,0,9,1948,45,
Lebanon,8,0,8,1948,46,
New Zealand,6,1,7,1948,47,
Ceylon,7,0,7,1948,48,
Colombia,6,0,6,1948,49,
Trinidad and Tobago,5,0,5,1948,50,
British Guiana,4,0,4,1948,51,
Monaco,4,0,4,1948,52,
Burma,4,0,4,1948,53,
Liechtenstein,2,0,2,1948,54,
Syria,1,0,1,1948,55,
Malta,1,0,1,1948,56,
Singapore,1,0,1,1948,57,
Venezuela,1,0,1,1948,58,
Panama,1,0,1,1948,59,
Soviet Union,255,40,295,1952,1,
United States,245,41,286,1952,2,
Finland,228,30,258,1952,3,
Great Britain,213,44,257,1952,4,
France,214,31,245,1952,5,
Italy,208,23,231,1952,6,
Sweden,183,23,206,1952,7,
Unified Team of Germany,173,32,205,1952,8,
Hungary,162,27,189,1952,9,
Switzerland,148,9,157,1952,10,
Belgium,130,5,135,1952,11,
Denmark,115,14,129,1952,12,
Poland,103,22,125,1952,13,
Argentina,115,8,123,1952,14,
Romania,103,11,114,1952,15,
Austria,91,21,112,1952,16,
Canada,97,10,107,1952,17,
Egypt,106,0,106,1952,18,
Netherlands,78,26,104,1952,19,
Norway,96,6,102,1952,20,
Czechoslovakia,86,13,99,1952,21,
Brazil,92,5,97,1952,22,
Yugoslavia,77,10,87,1952,23,
Australia,71,10,81,1952,24,
Portugal,68,3,71,1952,25,
Japan,58,11,69,1952,26,
South Africa,60,4,64,1952,27,
Mexico,61,3,64,1952,28,
India,60,4,64,1952,29,
Bulgaria,54,9,63,1952,30,
Chile,55,4,59,1952,31,
Turkey,51,0,51,1952,32,
Greece,48,0,48,1952,33,
Luxembourg,44,0,44,1952,34,
Pakistan,38,0,38,1952,35,
Venezuela,36,2,38,1952,36,
Saar,31,5,36,1952,37,
Uruguay,31,1,32,1952,38,
Cuba,29,0,29,1952,39,
Spain,27,0,27,1952,40,
Philippines,25,0,25,1952,41,
Israel,22,3,25,1952,42,
Iran,22,0,22,1952,43,
Guatemala,20,1,21,1952,44,
Puerto Rico,21,0,21,1952,45,
Ireland,19,0,19,1952,46,
Republic of Korea,18,1,19,1952,47,
New Zealand,12,2,14,1952,48,
Curaçao,11,0,11,1952,49,
Nigeria,9,0,9,1952,50,
Lebanon,9,0,9,1952,51,
Iceland,9,0,9,1952,52,
Monaco,8,0,8,1952,53,
Jamaica,6,2,8,1952,54,
Thailand,8,0,8,1952,55,
South Vietnam,8,0,8,1952,56,
Gold Coast,7,0,7,1952,57,
The Bahamas,7,0,7,1952,58,
Bermuda,4,2,6,1952,59,
Burma,5,0,5,1952,60,
Ceylon,5,0,5,1952,61,
Singapore,4,1,5,1952,62,
Hong Kong,2,2,4,1952,63,
Indonesia,3,0,3,1952,64,
Liechtenstein,2,0,2,1952,65,
Trinidad and Tobago,2,0,2,1952,66,
People's Republic of China,1,0,1,1952,67,
Panama,1,0,1,1952,68,
British Guiana,1,0,1,1952,69,
United States,251,46,297,1956,1,
Australia,250,44,294,1956,2,
Soviet Union,233,39,272,1956,3,
Great Britain,163,26,189,1956,4,
Unified Team of Germany,134,24,158,1956,5,
France,119,18,137,1956,6,
Italy,114,15,129,1956,7,
Japan,94,16,110,1956,8,
Hungary,88,20,108,1956,9,
Canada,77,15,92,1956,10,
Sweden,74,14,88,1956,11,
Poland,49,15,64,1956,12,
Finland,63,1,64,1956,13,
Czechoslovakia,51,12,63,1956,14,
India,58,1,59,1956,15,
Pakistan,55,0,55,1956,16,
Belgium,51,3,54,1956,17,
New Zealand,43,8,51,1956,18,
South Africa,44,6,50,1956,19,
Singapore,47,2,49,1956,20,
Romania,33,11,44,1956,21,
Brazil,43,1,44,1956,22,
Bulgaria,40,3,43,1956,23,
Philippines,35,4,39,1956,24,
Republic of Korea,35,0,35,1956,25,
Thailand,35,0,35,1956,26,
Yugoslavia,32,3,35,1956,27,
Chile,31,2,33,1956,28,
Malaya,32,1,33,1956,29,
Denmark,27,4,31,1956,30,
Austria,24,5,29,1956,31,
Argentina,27,1,28,1956,32,
Colombia,26,0,26,1956,33,
Kenya,24,1,25,1956,34,
Mexico,21,3,24,1956,35,
Indonesia,20,2,22,1956,36,
Uruguay,21,0,21,1956,37,
Republic of China,20,0,20,1956,38,
Venezuela,19,0,19,1956,39,
Norway,18,0,18,1956,40,
Iran,17,0,17,1956,41,
Cuba,15,1,16,1956,42,
Greece,13,0,13,1956,43,
Turkey,13,0,13,1956,44,
Ethiopia,12,0,12,1956,45,
Ireland,11,1,12,1956,46,
Afghanistan,12,0,12,1956,47,
Luxembourg,10,1,11,1956,48,
Burma,11,0,11,1956,49,
Nigeria,10,0,10,1956,50,
Puerto Rico,10,0,10,1956,51,
Peru,8,0,8,1956,52,
South Vietnam,6,0,6,1956,53,
Trinidad and Tobago,6,0,6,1956,54,
Jamaica,6,0,6,1956,55,
Portugal,5,0,5,1956,56,
Fiji,5,0,5,1956,57,
British Guiana,3,1,4,1956,58,
The Bahamas,4,0,4,1956,59,
Liberia,4,0,4,1956,60,
Ceylon,3,0,3,1956,61,
Bermuda,3,0,3,1956,62,
Uganda,3,0,3,1956,63,
Israel,2,1,3,1956,64,
North Borneo,2,0,2,1956,65,
Hong Kong,2,0,2,1956,66,
Iceland,2,0,2,1956,67,
Unified Team of Germany,239,55,294,1960,1,
United States,241,51,292,1960,2,
Soviet Union,233,50,283,1960,3,
Italy,246,34,280,1960,4,
Great Britain,206,47,253,1960,5,
France,210,28,238,1960,6,
Australia,160,29,189,1960,7,
Poland,156,29,185,1960,8,
Hungary,157,27,184,1960,9,
Japan,142,20,162,1960,10,
Switzerland,147,2,149,1960,11,
Spain,133,11,144,1960,12,
Sweden,115,19,134,1960,13,
Finland,107,10,117,1960,14,
Yugoslavia,107,9,116,1960,15,
Czechoslovakia,99,17,116,1960,16,
Netherlands,80,30,110,1960,17,
Austria,82,21,103,1960,18,
Belgium,93,8,101,1960,19,
Denmark,88,12,100,1960,20,
Romania,82,16,98,1960,21,
Bulgaria,89,9,98,1960,22,
Argentina,91,1,92,1960,23,
Canada,74,11,85,1960,24,
United Arab Republic,74,0,74,1960,25,
Brazil,71,1,72,1960,26,
Mexico,63,6,69,1960,27,
Portugal,60,5,65,1960,28,
South Africa,53,2,55,1960,29,
Luxembourg,47,5,52,1960,30,
Ireland,47,2,49,1960,31,
Turkey,46,3,49,1960,32,
Greece,48,0,48,1960,33,
Morocco,47,0,47,1960,34,
India,45,0,45,1960,35,
Pakistan,44,0,44,1960,36,
Tunisia,42,0,42,1960,37,
Philippines,36,4,40,1960,38,
Norway,39,1,40,1960,39,
New Zealand,33,4,37,1960,40,
Venezuela,31,5,36,1960,41,
Republic of Korea,33,2,35,1960,42,
Uruguay,34,0,34,1960,43,
Peru,31,0,31,1960,44,
Puerto Rico,26,1,27,1960,45,
Formosa,24,3,27,1960,46,
Kenya,27,0,27,1960,47,
Israel,17,6,23,1960,48,
Iran,23,0,23,1960,49,
Indonesia,20,2,22,1960,50,
Iraq,21,0,21,1960,51,
Thailand,20,0,20,1960,52,
Lebanon,19,0,19,1960,53,
Colombia,16,0,16,1960,54,
Ghana,13,0,13,1960,55,
The Bahamas,13,0,13,1960,56,
West Indies Federation,13,0,13,1960,57,
Rhodesia,7,5,12,1960,58,
Afghanistan,12,0,12,1960,59,
Cuba,9,3,12,1960,60,
Nigeria,12,0,12,1960,61,
Monaco,11,0,11,1960,62,
Burma,10,0,10,1960,63,
Malta,10,0,10,1960,64,
Ethiopia,10,0,10,1960,65,
Sudan,10,0,10,1960,66,
Uganda,10,0,10,1960,67,
Malaya,9,0,9,1960,68,
Iceland,8,1,9,1960,69,
Bermuda,9,0,9,1960,70,
San Marino,9,0,9,1960,71,
Chile,8,1,9,1960,72,
Panama,2,4,6,1960,73,
British Guiana,4,1,5,1960,74,
Liechtenstein,5,0,5,1960,75,
Ceylon,5,0,5,1960,76,
Singapore,5,0,5,1960,77,
Netherlands Antilles,5,0,5,1960,78,
Hong Kong,4,0,4,1960,79,
Liberia,4,0,4,1960,80,
South Vietnam,3,0,3,1960,81,
Fiji,2,0,2,1960,82,
Haiti,1,0,1,1960,83,
United States,267,79,346,1964,1,
Unified Team of Germany,275,62,337,1964,2,
Japan,270,58,328,1964,3,
Soviet Union,254,63,317,1964,4,
Australia,203,40,243,1964,5,
Great Britain,160,44,204,1964,6,
Hungary,150,32,182,1964,7,
Italy,157,11,168,1964,8,
Republic of Korea,128,26,154,1964,9,
Poland,115,25,140,1964,10,
France,118,20,138,1964,11,
Romania,108,30,138,1964,12,
Netherlands,105,20,125,1964,13,
Canada,95,20,115,1964,14,
Czechoslovakia,95,9,104,1964,15,
Argentina,96,6,102,1964,16,
Sweden,76,18,94,1964,17,
Mexico,90,4,94,1964,18,
Finland,84,5,89,1964,19,
Yugoslavia,72,3,75,1964,20,
United Arab Republic,73,0,73,1964,21,
Switzerland,65,1,66,1964,22,
New Zealand,56,8,64,1964,23,
Bulgaria,56,7,63,1964,24,
Iran,58,4,62,1964,25,
Malaysia,57,4,61,1964,26,
Brazil,60,1,61,1964,27,
Belgium,60,1,61,1964,28,
Denmark,53,7,60,1964,29,
Austria,45,11,56,1964,30,
Thailand,47,7,54,1964,31,
India,52,1,53,1964,32,
Spain,48,3,51,1964,33,
Philippines,40,7,47,1964,34,
Pakistan,41,0,41,1964,35,
Taiwan,37,3,40,1964,36,
Hong Kong,38,1,39,1964,37,
Kenya,37,0,37,1964,38,
Ghana,30,3,33,1964,39,
Puerto Rico,30,2,32,1964,40,
Peru,30,1,31,1964,41,
Rhodesia,25,4,29,1964,42,
Cuba,25,2,27,1964,43,
Norway,24,2,26,1964,44,
Ireland,24,1,25,1964,45,
Uruguay,23,0,23,1964,46,
Turkey,23,0,23,1964,47,
Jamaica,17,4,21,1964,48,
Mongolia,17,4,21,1964,49,
Colombia,20,0,20,1964,50,
Portugal,19,1,20,1964,51,
Morocco,20,0,20,1964,52,
Greece,18,0,18,1964,53,
Nigeria,16,2,18,1964,54,
Venezuela,15,1,16,1964,55,
South Vietnam,16,0,16,1964,56,
Chile,14,0,14,1964,57,
Cambodia,13,0,13,1964,58,
Trinidad and Tobago,13,0,13,1964,59,
Uganda,11,2,13,1964,60,
Iraq,13,0,13,1964,61,
Senegal,12,0,12,1964,62,
Ethiopia,12,0,12,1964,63,
Luxembourg,10,2,12,1964,64,
Northern Rhodesia,11,1,12,1964,65,
The Bahamas,11,0,11,1964,66,
Burma,11,0,11,1964,67,
Israel,8,2,10,1964,68,
Panama,6,4,10,1964,69,
Côte d'Ivoire,9,0,9,1964,70,
Tunisia,9,0,9,1964,71,
Afghanistan,8,0,8,1964,72,
Nepal,6,0,6,1964,73,
Ceylon,6,0,6,1964,74,
Lebanon,5,0,5,1964,75,
Iceland,3,1,4,1964,76,
Bermuda,4,0,4,1964,77,
Netherlands Antilles,4,0,4,1964,78,
Tanganyika,4,0,4,1964,79,
Madagascar,3,0,3,1964,80,
Congo,2,0,2,1964,81,
Mali,2,0,2,1964,82,
Liechtenstein,2,0,2,1964,83,
Chad,2,0,2,1964,84,
Costa Rica,2,0,2,1964,85,
Bolivia,1,0,1,1964,86,
Cameroon,1,0,1,1964,87,
Niger,1,0,1,1964,88,
Dominican Republic,1,0,1,1964,89,
British Guiana,1,0,1,1964,90,
Algeria,1,0,1,1964,91,
Monaco,1,0,1,1964,92,
Liberia,1,0,1,1964,93,
United States,274,83,357,1968,1,
Soviet Union,246,66,312,1968,2,
West Germany,232,43,275,1968,3,
Mexico,233,42,275,1968,4,
East Germany,186,40,226,1968,5,
Great Britain,175,50,225,1968,6,
France,169,31,200,1968,7,
Poland,140,37,177,1968,8,
Japan,146,25,171,1968,9,
Italy,152,15,167,1968,10,
Hungary,135,32,167,1968,11,
Canada,111,28,139,1968,12,
Australia,104,24,128,1968,13,
Spain,120,2,122,1968,14,
Czechoslovakia,94,27,121,1968,15,
Cuba,101,14,115,1968,16,
Bulgaria,102,10,112,1968,17,
Netherlands,82,25,107,1968,18,
Sweden,86,14,100,1968,19,
Argentina,84,5,89,1968,20,
Switzerland,81,4,85,1968,21,
Romania,66,16,82,1968,22,
Belgium,77,5,82,1968,23,
Brazil,73,3,76,1968,24,
Yugoslavia,59,10,69,1968,25,
Finland,60,6,66,1968,26,
Denmark,60,4,64,1968,27,
El Salvador,52,8,60,1968,28,
Puerto Rico,54,4,58,1968,29,
Republic of Korea,41,13,54,1968,30,
New Zealand,47,5,52,1968,31,
Philippines,45,4,49,1968,32,
Guatemala,47,1,48,1968,33,
Norway,38,8,46,1968,34,
Greece,44,0,44,1968,35,
Austria,35,8,43,1968,36,
Colombia,38,5,43,1968,37,
Taiwan,35,8,43,1968,38,
Thailand,41,0,41,1968,39,
Kenya,36,3,39,1968,40,
Nigeria,31,5,36,1968,41,
Ghana,30,1,31,1968,42,
Malaysia,31,0,31,1968,43,
Ireland,25,6,31,1968,44,
United Arab Republic,30,0,30,1968,45,
Turkey,29,0,29,1968,46,
Israel,26,3,29,1968,47,
Peru,16,12,28,1968,48,
Uruguay,21,6,27,1968,49,
India,25,0,25,1968,50,
Morocco,25,0,25,1968,51,
Jamaica,20,5,25,1968,52,
Venezuela,23,0,23,1968,53,
Chile,19,2,21,1968,54,
Senegal,21,0,21,1968,55,
Portugal,19,1,20,1968,56,
Trinidad and Tobago,19,0,19,1968,57,
Costa Rica,17,1,18,1968,58,
Dominican Republic,18,0,18,1968,59,
Ethiopia,18,0,18,1968,60,
The Bahamas,16,0,16,1968,61,
Panama,16,0,16,1968,62,
Mongolia,12,4,16,1968,63,
Guinea,15,0,15,1968,64,
Ecuador,14,1,15,1968,65,
Pakistan,15,0,15,1968,66,
Iran,14,0,14,1968,67,
Nicaragua,11,0,11,1968,68,
Hong Kong,11,0,11,1968,69,
Lebanon,11,0,11,1968,70,
Uganda,11,0,11,1968,71,
Côte d'Ivoire,10,0,10,1968,72,
South Vietnam,7,2,9,1968,73,
Barbados,9,0,9,1968,74,
Iceland,6,2,8,1968,75,
Tunisia,7,0,7,1968,76,
British Honduras,7,0,7,1968,77,
Zambia,7,0,7,1968,78,
Indonesia,6,0,6,1968,79,
Honduras,6,0,6,1968,80,
United States Virgin Islands,6,0,6,1968,81,
Bermuda,6,0,6,1968,82,
Sudan,5,0,5,1968,83,
Afghanistan,5,0,5,1968,84,
Luxembourg,3,2,5,1968,85,
Netherlands Antilles,3,2,5,1968,86,
Guyana,5,0,5,1968,87,
Cameroon,5,0,5,1968,88,
Democratic Republic of the Congo,5,0,5,1968,89,
Singapore,4,0,4,1968,90,
Madagascar,4,0,4,1968,91,
United Republic of Tanzania,4,0,4,1968,92,
Burma,4,0,4,1968,93,
San Marino,4,0,4,1968,94,
Bolivia,4,0,4,1968,95,
Sierra Leone,3,0,3,1968,96,
Chad,3,0,3,1968,97,
Ceylon,3,0,3,1968,98,
Algeria,3,0,3,1968,99,
Iraq,3,0,3,1968,100,
Syrian Arab Republic,2,0,2,1968,101,
Liechtenstein,2,0,2,1968,102,
Kuwait,2,0,2,1968,103,
Niger,2,0,2,1968,104,
Monaco,2,0,2,1968,105,
Mali,2,0,2,1968,106,
Central African Republic,1,0,1,1968,107,
Paraguay,1,0,1,1968,108,
Fiji,1,0,1,1968,109,
Suriname,1,0,1,1968,110,
Malta,1,0,1,1968,111,
Libya,1,0,1,1968,112,
West Germany,341,83,424,1972,1,
United States,316,84,400,1972,2,
Soviet Union,298,73,371,1972,3,
East Germany,231,66,297,1972,4,
